國名,國防預算(十億),戰車,航母,兩棲艦,巡洋艦,驅逐艦,巡防艦,護衛艦,核子潛艇,傳統潛艇,戰機,攻擊直昇機,核武,軍用衛星
土耳其,10,2504,0,0,0,0,18,6,0,14,335,339,0,2
中國,216.4,9151,1,4,0,27,47,27,9,60,2571,579,260,68
巴基斯坦,8.31,3010,0,0,0,1,10,0,0,5,923,394,120,0
日本,47.7,688,0,3,0,34,9,0,0,18,777,207,0,4
以色列,20.1,500,0,0,0,0,0,3,0,3,440,84,80,8
台灣,10.1,566,0,1,0,4,22,0,0,4,485,154,0,1
伊朗,14.8,1663,0,0,0,0,0,6,0,21,337,62,0,0
印度,53.2,6464,2,16,0,11,14,26,2,14,2086,809,110,5
法國,53.1,200,1,4,0,11,11,0,10,0,395,293,300,8
俄羅斯,70,15398,1,0,6,18,13,48,45,22,3547,1438,7700,74
美國,615.5,8850,10,33,22,62,6,0,72,0,3680,1830,7100,123
埃及,5.45,2540,0,0,0,0,8,2,0,4,569,132,0,0
韓國,34.4,2514,0,1,0,12,14,36,0,23,587,273,0,0
